Prioridade,Horizonte_Dias,Horizonte,Modelo,MAE,RMSE,WAPE_pct,Folds
P2,1,D+1,XGBoost,45.34398152033488,80.23655297559777,56.65190202355458,4
P2,1,D+1,RollingMean7,53.36190476190476,80.13133929036576,64.47642645892894,4
P2,1,D+1,RandomForest,58.12880437226821,90.78325887923828,77.22481144435531,4
P2,1,D+1,Persistence,59.40833333333333,103.3991750364867,72.49130587955726,4
P2,1,D+1,Seasonal7,62.3,103.39094992544642,75.33251474376202,4
P2,7,D+7,XGBoost,45.27119645277659,79.25848914161112,56.39461959300937,4
P2,7,D+7,RollingMean7,51.555059523809526,79.7137386022112,63.21595123349155,4
P2,7,D+7,RandomForest,57.32093166098904,91.35616402034135,74.93842968868616,4
P2,7,D+7,Persistence,61.452083333333334,106.31076122097723,75.44266783129132,4
P2,7,D+7,Seasonal7,61.452083333333334,106.31076122097723,75.44266783129132,4
P3,1,D+1,RollingMean7,64.21190476190476,93.26383668072106,33.506757425894044,4
P3,1,D+1,Persistence,71.375,106.25421925513604,37.71001072129423,4
P3,1,D+1,Seasonal7,77.60833333333333,116.8500067711131,39.032950932172454,4
P3,1,D+1,XGBoost,85.46196082433065,121.29069762333145,39.80255366945049,4
P3,1,D+1,RandomForest,91.84873822057942,133.10780863642236,44.79052568141339,4
P3,7,D+7,Persistence,82.32291666666667,120.46983920596183,38.25085949110901,4
P3,7,D+7,Seasonal7,82.32291666666667,120.46983920596183,38.25085949110901,4
P3,7,D+7,RollingMean7,84.96994047619049,116.14475379179953,39.56309489946706,4
P3,7,D+7,XGBoost,96.954318634669,127.67361499472119,41.48498782524965,4
P3,7,D+7,RandomForest,103.78614936549954,144.9679800002168,46.88178068488481,4
