Prioridade,Horizonte_Dias,Horizonte,Modelo,MAE,RMSE,WAPE_pct,Folds
P2,1,D+1,XGBoost,45.34398152033488,80.23655297559777,56.65190202355458,4
P2,1,D+1,RollingMean7,53.36190476190476,80.13133929036576,64.47642645892894,4
P2,1,D+1,RandomForest,58.12880437226821,90.78325887923828,77.22481144435531,4
P2,1,D+1,Persistence,59.40833333333333,103.3991750364867,72.49130587955726,4
P2,1,D+1,Seasonal7,62.3,103.39094992544642,75.33251474376202,4
P2,2,D+2,XGBoost,45.58249890338415,80.7062005839167,57.089475280572415,4
P2,2,D+2,RollingMean7,53.08021346469623,80.57794809637431,63.97366809092424,4
P2,2,D+2,RandomForest,59.43667870814909,91.78483314814017,78.39518318534172,4
P2,2,D+2,Seasonal7,62.29568965517242,103.55315575625278,75.12649467342648,4
P2,2,D+2,Persistence,67.16724137931035,105.6064025947907,81.59860124129679,4
P2,3,D+3,XGBoost,44.51069027809869,79.0826233925051,56.46201536117681,4
P2,3,D+3,RollingMean7,52.29277210884354,79.37011880537126,63.66559239991049,4
P2,3,D+3,RandomForest,57.88030986527362,89.51836295120533,76.89882607832219,4
P2,3,D+3,Seasonal7,61.217261904761905,102.53386880610988,75.05221349881761,4
P2,3,D+3,Persistence,71.61309523809524,113.18494800820551,88.50225933718204,4
P2,4,D+4,XGBoost,44.50865332462169,79.08841776786934,56.32006922821832,4
P2,4,D+4,RollingMean7,52.613756613756614,79.72014387681281,64.20812822524515,4
P2,4,D+4,RandomForest,57.91941337727156,89.83973188233603,76.44648132781353,4
P2,4,D+4,Seasonal7,61.236111111111114,102.69386096708078,75.20443272450862,4
P2,4,D+4,Persistence,71.15185185185186,114.29748217866238,88.56255131680086,4
P2,5,D+5,XGBoost,44.45395269393921,76.48341878606388,55.40931860422202,4
P2,5,D+5,RollingMean7,52.64963369963371,79.93617844448517,64.70395098925346,4
P2,5,D+5,RandomForest,57.22251078898526,87.48633790637368,75.08626683583655,4
P2,5,D+5,Seasonal7,61.239102564102566,105.10254802083114,75.59048615216959,4
P2,5,D+5,Persistence,68.30641025641026,113.81309313490894,83.62051842405033,4
P2,6,D+6,XGBoost,44.55466814359029,78.70906213870947,55.546238456799664,4
P2,6,D+6,RollingMean7,51.470238095238095,80.80687715281296,63.43173629190859,4
P2,6,D+6,RandomForest,56.38400800814097,89.46745727694731,73.67213689779952,4
P2,6,D+6,Seasonal7,61.31833333333333,106.15978921825109,75.30245968554031,4
P2,6,D+6,Persistence,67.98166666666667,112.14928196724763,84.20744062710247,4
P2,7,D+7,XGBoost,45.27119645277659,79.25848914161112,56.39461959300937,4
P2,7,D+7,RollingMean7,51.555059523809526,79.7137386022112,63.21595123349155,4
P2,7,D+7,RandomForest,57.32093166098904,91.35616402034135,74.93842968868616,4
P2,7,D+7,Persistence,61.452083333333334,106.31076122097723,75.44266783129132,4
P2,7,D+7,Seasonal7,61.452083333333334,106.31076122097723,75.44266783129132,4
P3,1,D+1,RollingMean7,64.21190476190476,93.26383668072106,33.506757425894044,4
P3,1,D+1,Persistence,71.375,106.25421925513604,37.71001072129423,4
P3,1,D+1,Seasonal7,77.60833333333333,116.8500067711131,39.032950932172454,4
P3,1,D+1,XGBoost,85.46196082433065,121.29069762333145,39.80255366945049,4
P3,1,D+1,RandomForest,91.84873822057942,133.10780863642236,44.79052568141339,4
P3,2,D+2,RollingMean7,68.38850574712643,97.58014389271435,34.89298770961106,4
P3,2,D+2,Seasonal7,78.28132183908046,117.1311830756029,38.65879308730064,4
P3,2,D+2,Persistence,82.78563218390805,116.334448717017,42.85714890836287,4
P3,2,D+2,XGBoost,87.65044014810145,121.83718260044913,40.10337240129362,4
P3,2,D+2,RandomForest,92.15537111829437,132.33663109361856,43.7952975782426,4
P3,3,D+3,RollingMean7,72.4373299319728,103.18600453396193,36.45020058386068,4
P3,3,D+3,Seasonal7,78.99107142857143,117.7974602022818,38.75655974872052,4
P3,3,D+3,Persistence,88.03214285714286,120.76557250334024,45.946484747859664,4
P3,3,D+3,XGBoost,89.62398311524163,123.4226909821246,40.69819258154906,4
P3,3,D+3,RandomForest,96.79735620536687,136.9374989179513,45.943266290289806,4
P3,4,D+4,RollingMean7,74.78174603174604,106.4544021991077,36.77628512593584,4
