Prioridade,Horizonte_Dias,Horizonte,Modelo_Selecionado,MAE_CV,RMSE_CV,WAPE_CV_pct,Folds
P2,1,D+1,XGBoost,45.34398152033488,80.23655297559777,56.65190202355458,4
P2,2,D+2,XGBoost,45.58249890338415,80.7062005839167,57.089475280572415,4
P2,3,D+3,XGBoost,44.51069027809869,79.0826233925051,56.46201536117681,4
P2,4,D+4,XGBoost,44.50865332462169,79.08841776786934,56.32006922821832,4
P2,5,D+5,XGBoost,44.45395269393921,76.48341878606388,55.40931860422202,4
P2,6,D+6,XGBoost,44.55466814359029,78.70906213870947,55.546238456799664,4
P2,7,D+7,XGBoost,45.27119645277659,79.25848914161112,56.39461959300937,4
P3,1,D+1,RollingMean7,64.21190476190476,93.26383668072106,33.506757425894044,4
P3,2,D+2,RollingMean7,68.38850574712643,97.58014389271435,34.89298770961106,4
P3,3,D+3,RollingMean7,72.4373299319728,103.18600453396193,36.45020058386068,4
P3,4,D+4,RollingMean7,74.78174603174604,106.4544021991077,36.77628512593584,4
P3,5,D+5,RollingMean7,78.31272893772893,109.54971792039593,37.70245941879934,4
P3,6,D+6,Seasonal7,81.41,119.52697596156965,38.209957328478346,4
P3,7,D+7,Persistence,82.32291666666667,120.46983920596183,38.25085949110901,4
